Domain ID,Application Domain,Domain Type,Domain Description,Scope Boundary / Exclusions,Parent / Related Domain IDs,Why Explore This Domain?,Possible Context / Setting,Potential Stakeholders,Processes Worth Exploring,Stakeholder Access,Access Basis / Contact Status,Local Relevance,Domain / Process Familiarity,Data / Evidence Potential,Preliminary Evidence / Source Basis,Preliminary Computing Research Potential,Possible SDG Relevance — Preliminary,Initial Concerns / Constraints,External Support / Facility Needs,Submitted By,Taxonomy Review Status,Preliminary Review Recommendation,Next Validation Action
D11,Tourism Services and Destination Operations,Sector,"Visitor-facing services and the operation and management of tourism destinations, accommodations, and activities.",Visitor and destination services; excludes passenger transport as the primary process (D04) and cultural safeguarding (D20).,"Related: D04, D14, D20","Local destinations allow observation of visitor and operator processes, subject to site cooperation and seasonality.","Heritage and natural sites, festivals, tourism offices, accommodations, transport terminals","Visitors, residents, tourism officers, guides, transport providers, local businesses","Visitor information, bookings and inquiries, visitor flow, accessibility, feedback, site and destination operations",Medium,"Visitors may be reachable; tourism-office, site, and business cooperation remain unconfirmed.",High,High,Medium,DOT and local-tourism reports provide background; site-specific visitor and process evidence is unverified.,High,"SDG 8, 11, 12",Tourism-site and business permission; seasonality; visitor recruitment; commercially sensitive records; heritage and community sensitivity.,"Tourism office, site manager, or participating business approval.",AI-assisted draft,Confirmed,Hold,"Select one destination and one visitor or operator process, then confirm site cooperation."
D12,Government Service Delivery and Administrative Workflows,Sector,"Citizen-facing transactions and internal administrative workflows of government offices, independent of sector-specific program content.",Citizen-facing government transactions and administrative workflows; excludes sector-specific problems merely because an LGU operates the service.,"Related: D07, D13, D24","Citizens regularly use public offices, allowing investigation of service access, delays, routing, and transparency.","Barangay halls, municipal offices, service counters, public consultations","Citizens, barangay officials, municipal staff, applicants, civil-society groups","Applications, permits, document requests, complaints, case routing, public information, feedback, processing-time recording",Medium,Citizens are reachable; LGU staff participation and transaction records require authorization.,High,Medium,Medium,"DILG, ARTA, and Citizen's Charter documents provide process baselines; actual local transaction data are unverified.",High,SDG 16,LGU permission; protected records; policy variation; staff workload; process ownership; Citizen's Charter may not reflect actual practice.,LGU or barangay-office approval and authorized access to non-sensitive process records.,AI-assisted draft,Confirmed,Hold,"Select one government transaction and office, then map the current process with authorized participants."
D13,Community Safety and Emergency Response,Sector,"Prevention, reporting, coordination, and response for routine community-safety incidents and emergencies not primarily focused on natural-hazard planning.",Routine safety-incident reporting and emergency response; excludes natural-hazard preparedness (D05) and long-term climate adaptation (D19).,"Related: D05, D12, D24",Safety reporting and response coordination are consequential but require careful handling of operational information.,"Barangays, schools, public spaces, transport areas, emergency operations centers","Residents, barangay officials, responders, school safety staff, enforcement personnel","Incident reporting, dispatch, public advisories, response coordination, resource status, after-action records",Medium,Community users may be reachable; responder participation and incident records require formal authorization.,High,Medium,Low,Public-safety policies and advisories provide background; incident and response records are restricted.,High,"SDG 11, 16",Sensitive incident and security data; agency permission; respondent safety; false or incomplete reports; no testing in real emergencies.,"Agency or responder partner and a controlled, non-emergency evaluation environment.",AI-assisted draft,Confirmed,Hold,Retain one safe public-information or coordination process and obtain an agency partner.
D14,Accessibility and Inclusive Participation,Cross-cutting,"Conditions and barriers affecting equitable access to digital services, communication, mobility, learning, and public participation.",Accessibility barriers and inclusive participation; excludes assuming assistive technology as the solution and excludes general education operations.,"Related: D02, D04, D11, D15, D22",Accessibility becomes researchable when representative users help define needs and evaluation criteria.,"Schools, campuses, homes, public facilities, websites, mobile services","People with disabilities, caregivers, educators, accessibility advocates, service providers","Accessibility assessment, digital navigation, communication access, wayfinding, service accommodation, usability evaluation",Medium,"PDAO, CSWDO, or advocacy routes are possible; representative participants and a qualified validator are unconfirmed.",High,Low,Medium,Accessibility standards and participatory evidence are appropriate; representative local evidence has not been collected.,High,"SDG 3, 4, 10",Representative participant recruitment; informed consent; diverse accessibility needs; assistive-device availability; expert validation.,"Representative users, an accessibility specialist, and appropriate assistive devices.",AI-assisted draft,Confirmed,Hold,Secure representative participants and a qualified accessibility validator before defining requirements.
D15,Student Support Services and Academic Well-being,Specialized,"Non-clinical academic, social, and support-service conditions affecting students' participation and ability to learn.",Non-clinical student-support and academic-well-being processes; excludes health diagnosis or treatment (D03) and general teaching processes (D02).,"Parent: D02; Related: D03, D14","The group can access students and observe service-discovery, workload, and support-process concerns.","Universities, schools, classrooms, student-service offices, online learning environments","Students, teachers, guidance personnel, student-affairs staff, parents or guardians when appropriate","Workload coordination, support-service discovery, appointments, campus participation, referrals, follow-up",Medium,Students are reachable; student-service staff participation and sensitive records require institutional approval.,High,High,Medium,"Student interviews, observation, and public service information may provide evidence; sensitive institutional records are restricted.",Medium,"SDG 3, 4",Sensitive personal data; school ethics or approval; measurement validity; professional oversight; avoid collecting clinical disclosures.,School ethics/approval and guidance or student-services oversight.,AI-assisted draft,Confirmed,Hold,Narrow to one non-clinical support-service process and obtain campus approval.
D16,"Employment, Skills, and School-to-Work Transition",Sector,"Preparation for work, skills development, recruitment, career guidance, and transition from education to employment.","Career preparation, skills, recruitment, and school-to-work transition; excludes general teaching (D02) and internal MSME operations (D23).","Related: D02, D23","Students, graduates, training providers, and employers may reveal measurable skills and transition mismatches.","Universities, training centers, job fairs, local firms, recruitment channels","Students, graduates, career offices, trainers, employers, local businesses","Skills-requirement analysis, career guidance, job and internship matching, credential records, employer coordination",Medium,"Students and graduates are reachable; employer, PESO, and career-office participation remain unconfirmed.",High,High,Medium,"DOLE, PESO, TESDA, and labor-market sources support relevance; an occupation-specific local mismatch is not validated.",High,"SDG 4, 8",Employer and career-office participation; self-reported skills; changing job requirements; personal-data privacy; outcome follow-up.,"Employer, PESO, or career-office partner and authorized skills or outcome data.",AI-assisted draft,Confirmed,Explore,Select one occupation or school-to-work transition and confirm employer or career-office participation.
D17,"Housing, Rental, and Shared Residential Services",Sector,"Residential, rental, maintenance, and shared-facility processes affecting tenants, landlords, and communities.","Housing, rental, maintenance, and shared-residential processes; excludes utilities, waste, public safety, and governance when those are the primary problem.","Related: D06, D08",Boarding and community-living experiences may reveal observable service and coordination problems.,"Rental housing, dormitories, subdivisions, barangays, shared residential facilities","Residents, tenants, landlords, homeowners, barangay officials, maintenance personnel","Maintenance requests, rental communication, community notices, shared-facility scheduling, residential reporting",Medium,"The team has direct boarding experience; landlord, manager, and maintenance-record access remain unconfirmed.",Medium,High,Medium,Direct observation and interviews in boarding or rental settings are feasible; standardized operational records may be limited.,Medium,SDG 11,Private-property and household access; tenant and landlord privacy; differing responsibilities; limited standardized records.,Landlord or boarding-manager cooperation and tenant consent.,AI-assisted draft,Confirmed,Hold,Choose one boarding or rental workflow and confirm both resident and responsible-party access.
D18,Environmental Condition Monitoring,Cross-cutting,"Systematic observation and measurement of environmental conditions using defined variables, sites, and reference methods.",Validated observation and measurement of environmental conditions; excludes restoration-project management (D25) and utility-service operations (D06).,"Related: D06, D07, D10, D19, D25","Local conditions can be measured, but a viable study requires a validated variable, reference method, and sampling plan.","Rivers, watersheds, farms, roadsides, campuses, vulnerable or protected areas","Residents, environmental officers, schools, farmers, community groups, technical experts","Sampling, sensor and field observations, data-quality checks, reporting, trend analysis, threshold assessment",Medium,"Potential field sites exist; site permission, expert validation, calibration, and laboratory access remain unconfirmed.",High,Low,Medium,"EMB, DOST VI, and UPV technical references provide pathways; the variable-specific dataset and reference method are unconfirmed.",High,"SDG 6, 13, 15",Site permission; sensor calibration; reference laboratory or technical validation; sampling duration; weather exposure; maintenance cost.,"Environmental expert, calibrated sensors/reference instruments, and laboratory or technical validation.",AI-assisted draft,Confirmed,Hold,"Select one environmental variable, site, reference method, sampling period, and total validation cost."
D19,Long-Term Climate Adaptation Planning,Cross-cutting,Planning and prioritization of actions that help communities and systems adjust to projected climate impacts over longer time horizons.,Long-term climate planning and adaptation-option prioritization; excludes immediate disaster preparedness (D05) and environmental measurement (D18).,"Related: D05, D18, D25",The domain is relevant only when narrowed to a planning or resource-allocation decision distinct from preparedness and monitoring.,"Coastal areas, flood-prone communities, agricultural zones, local planning offices","Local governments, vulnerable communities, environmental planners, researchers","Vulnerability assessment, adaptation-option prioritization, local planning, project monitoring, resource allocation",Medium,"Public climate data may be available; LGU planners, plans, and local raw data require confirmation.",High,Low,Medium,PAGASA and GeoRisk public data provide background; local adaptation-decision evidence is unverified.,Medium,SDG 13,Long-term data and evaluation horizon; model complexity; overlap with DRR and environmental monitoring; LGU planning access; policy dependence.,LGU planning/environment office and climate-data expertise.,AI-assisted draft,Confirmed,Hold,"Choose one planning decision with a feasible historical, simulation, or expert-evaluation basis; otherwise drop."
D21,Financial Access and Consumer Service Workflows,Specialized,"Access to, understanding of, and support for formal financial services, payments, microfinance, and financial-literacy services.","Consumer access to, understanding of, and support for financial services; excludes credit scoring and internal business management (D23).","Related: D23, D24","Local consumers and merchants may reveal barriers in service discovery, onboarding, understanding, and assistance.","Stores, cooperatives, rural banks, payment agents, schools, community financial-literacy programs","Consumers, small merchants, cooperative members, financial-literacy educators, financial-service personnel","Financial-literacy support, service discovery, onboarding, payment assistance, complaint handling, consumer-side record reconciliation",Medium,Consumers and merchants may be reachable; financial-service providers and transaction records are restricted.,High,Low,Medium,BSP financial-inclusion and consumer-protection sources provide background; local workflow evidence is unverified.,High,"SDG 1, 8, 10",Financial-data sensitivity; regulated services; trust and informed consent; transaction records unavailable; avoid collecting credentials or balances.,"Consumer-protection or financial-literacy expert; no credentials, balances, or transaction access.",AI-assisted draft,Confirmed,Hold,Choose one non-sensitive consumer workflow and define an ethical participant/evidence plan.
D23,MSME Operations and Digital Commerce,Sector,"Day-to-day processes used by micro and small enterprises to manage sales, products, suppliers, customers, and digital channels.","Internal MSME sales, inventory, supplier, customer, and digital-commerce operations; excludes consumer financial access (D21) and whole food-supply chains (D09).","Related: D09, D16, D21, D24",Local enterprises provide observable manual and digital workflows without requiring a predetermined solution.,"Stores, market stalls, home-based enterprises, cooperatives, small online shops","Small-business owners, market vendors, home-based sellers, customers, suppliers, business-support personnel","Inventory and stock records, supplier ordering, sales recording, payment reconciliation, customer inquiries, business reporting",Medium,Local business owners are reachable in principle; no committed business partner or record access is confirmed.,High,Medium,Medium,DTI and PSA MSME sources support relevance; partner business records and a local bottleneck remain unconfirmed.,High,"SDG 8, 9",Owner availability; inconsistent records; commercial privacy; device and connectivity constraints; avoid sensitive financial or customer data.,Committed MSME partner and access to non-sensitive operational records.,AI-assisted draft,Confirmed,Explore,"Choose one business type and committed partner, then quantify one recurring non-sensitive operational bottleneck."
D24,Digital Safety and Data Privacy Practices,Cross-cutting,"Safe, lawful, and responsible handling of personal data, accounts, devices, and online interactions when security or privacy is the primary research concern.",Security or privacy must be the primary research problem; excludes treating it only as a requirement of another domain. All studies must be controlled and authorized.,"Related: D12, D13, D21, D23",Local practices and support workflows can be examined safely through controlled and authorized studies.,"Schools, campuses, public offices, local businesses, community organizations, online groups","Students, educators, parents or guardians, office staff, business owners, data-protection personnel","Privacy-notice comprehension, consent, account-security practices, scam recognition and reporting, incident reporting, permissions, data retention",High,Students and MSMEs are reachable for controlled studies; organizational systems and incident logs remain restricted.,High,High,Medium,"NPC, DICT, and CICC materials provide background; a specific local user or workflow problem is not yet validated.",High,"SDG 4, 9, 16",Participant privacy and informed consent; access to incident logs is restricted; institutional authorization; controlled testing only; no unauthorized access.,Institutional authorization and a controlled cybersecurity/privacy study environment.,AI-assisted draft,Confirmed,Explore,"Choose one controlled awareness, usability, reporting, or privacy workflow and obtain institutional authorization."
D20,Cultural Heritage Documentation and Knowledge Transmission,Specialized,"Documentation, safeguarding, and community-controlled transmission of local traditions, oral histories, languages, and cultural knowledge.",Safeguarding and transmitting cultural knowledge with community permission; excludes tourism services (D11) and language-literacy resources (D22) as the primary purpose.,"Related: D11, D22","Local documentation and knowledge-transmission practices may contain access, continuity, ownership, and validation concerns that can be investigated with community permission.","One consenting barangay, cultural organization, local heritage office, or school-based local-history setting in Iloilo or Antique","Cultural knowledge holders, community elders, local historians, cultural organizations, barangay or cultural offices, educators, and learners","Existing documentation, consent and ownership practices, transcription, cataloging, access control, community validation, and knowledge transmission",Low,"No specific community, cultural office, gatekeeper, or knowledge-holder permission is confirmed.",Medium,Low,Low,NCCA cultural-inventory and heritage-documentation programs provide background; local community evidence is not yet obtained.,Medium,"SDG 4, 11","Requires trust-building and consent from elders/communities; cultural sensitivity in handling and presenting oral knowledge; access to community gatekeepers (e.g., barangay or cultural office) is essential before any data collection; risk of misrepresentation if not community-validated.","Community gatekeeper, cultural knowledge holders, and NCCA or local-cultural-office guidance.",Faith,Submitter Review,Hold,"Select one consenting community and cultural practice, obtain permission, and confirm the revised scope with the submitter."
D22,Local Language and Literacy Resources,Specialized,"Reading, writing, translation, comprehension, and preservation of Hiligaynon, Kinaray-a, and other regional-language resources.",Local-language literacy and resource processes; excludes general academic administration (D02) and cultural documentation not centered on language or literacy (D20).,"Related: D02, D14, D20","Changes under RA 12027 make local-language resource availability, classroom use, and literacy support worth exploring, but a specific local difficulty must be verified with educators and learners.","Schools, community literacy programs, libraries, cultural organizations, and local-language resource projects","Students, teachers, local-language advocates or linguists, librarians, DepEd personnel","Language mapping, local-language resource cataloging, reading support, transcription, translation assistance, and material evaluation",Medium,"Students and teachers may be reachable; no educator, linguist, or validated language-resource partner is confirmed.",High,Medium,Medium,RA 12027 and education/language-resource sources provide policy background; a local literacy or resource problem is not yet validated. https://lawphil.net/statutes/repacts/ra2024/ra_12027_2024.html,High,"SDG 4, 10","Policy alignment under RA 12027, limited validated datasets, orthography and linguistic expertise, and permissions for copyrighted or community materials","Educator or linguist, KWF/DepEd-aligned resources, and copyright or community permissions.",Faith,Submitter Review,Hold,"Choose one language/literacy process and local setting, then confirm an educator or linguist and submitter approval."
D25,Mangrove Restoration/Environment and Conservation Operations,Specialized,"Planning, coordination, documentation, and management of mangrove restoration activities and their project-level outcomes.","Mangrove-restoration planning, coordination, field records, and project reporting; excludes scientific environmental-condition measurement as the primary purpose (D18) and generic waste or water-service operations.","Related: D06, D07, D10, D18, D19","Mangrove-restoration projects involve field records, activity coordination, survival tracking, and reporting processes that may warrant investigation when one site and responsible organization are accessible.","One verified mangrove-restoration site in Iloilo; Leganes Integrated Katunggan Ecopark is a documented candidate, but research access is unconfirmed","Site managers, LGU environment offices, DENR or BFAR personnel, fisherfolk, conservation organizations, community partners, volunteers, and researchers","Restoration planning, planting-site records, project-level survival and growth tracking, field-data collection, activity and volunteer coordination, reporting, and decision-making",Medium,"The submitter has a personal contact connected to relevant mangrove-restoration stakeholders. The organization or role, possible type of access, willingness to participate, authority, and required permissions remain to be confirmed.",High,Low,Medium,"Official documentation confirms mangrove-restoration activity at Leganes Integrated Katunggan Ecopark. The submitter also reports a possible personal route to relevant records or evidence, but the exact datasets, ownership, coverage, quality, format, and research-use permission remain to be verified. https://www.bmb.gov.ph/the-katunggan-ecopark/",Unknown,"SDG 14, 15; possible SDG 13, 17 pending validation","Formal stakeholder participation, site permission, and data access are not yet confirmed; details of the known contact and available evidence remain undocumented; field conditions; ecological validation needs; imagery or equipment costs and licensing; overlap with D18.","LGU or site manager, DENR/BFAR or conservation partner, field access, and ecological validation; technical tools only after a validated need.",nherie,Merge Review,Hold,"Decide whether the focus is restoration management or scientific condition measurement; if measurement is primary, merge with D18. Document the known contact’s organization or role, confirm participation and site access, and identify the exact obtainable datasets."
