Concept ID,Domain ID,Application Domain,Stakeholder(s),Context / Setting,Current Process / Situation,Candidate Problem,Observed / Expected Consequence,Affected Party,Initial Problem Statement,Source of Idea,Initial Evidence Available?,Stakeholder Access,Data / Evidence Access,Potential Computing Relevance,Scope Feasibility,Initial Concerns,Submitted By,Duplicate / Related To,Initial Decision,Reason for Decision,Notes,Date Added,Early Ethics / Privacy Risk,Evidence Classification,Evidence Scope,Magnitude Status,Conflicting Evidence / Alternative Explanation,Evidence Reachability,Stakeholder Access Status,Ethics / Privacy / Safety / Permission Sensitivity,Working Status,Next Action,Record Owner
C16,D18,Environmental Condition Monitoring,"Students, teachers, facilities personnel, and school administrators",Selected naturally ventilated classrooms in one campus during defined warm-weather weeks,"Heat is managed through fans, windows, schedules, or class adjustments, while room conditions are checked only intermittently","Continuous room-level temperature, humidity, and air-movement records may be unavailable or not linked with occupancy and mitigation actions","Periods outside agreed thermal criteria may remain unidentified, limiting timely mitigation and contributing to discomfort, reduced task performance, or learning disruption","Students, teachers, and school administrators","Selected naturally ventilated classrooms currently use routine ventilation and schedule adjustments, but continuous thermal-condition records linked with occupancy and mitigation may be unavailable, potentially preventing staff from identifying when and where unacceptable conditions recur.",Philippine classroom thermal-comfort studies + DepEd extreme-heat guidance,Some,High,High,High,High,"Use calibrated instruments and a predeclared thermal reference; control for weather, time, occupancy, and room differences; avoid medical claims; obtain accessible consent for any voluntary comfort or task measures.",AI-assisted curation,Related to C13,Hold,"Strong local access, objective measurement, and comparison route using calibrated readings, accepted criteria, surveys or bounded task measures, and mitigation-period baselines; the local magnitude still needs to be established.",Evidence: https://bukidnon.deped.gov.ph/2024/04/05/official-statement-on-class-suspensions-and-shifting-to-adm-due-to-high-heat-index-other-calamities/ | https://doi.org/10.1051/e3sconf/202339601116 | https://doi.org/10.5281/zenodo.15531795,2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Likely,Likely,Medium,Investigate,Evidence: https://bukidnon.deped.gov.ph/2024/04/05/official-statement-on-class-suspensions-and-shifting-to-adm-due-to-high-heat-index-other-calamities/ | https://doi.org/10.1051/e3sconf/202339601116 | https://doi.org/10.5281/zenodo.15531795,
C17,D25,Mangrove Restoration/Environment and Conservation Operations,"Restoration-site managers, LGU environment personnel, conservation partners, and community monitors",One verified Iloilo mangrove-restoration site with a defined set of monitoring plots,"Survival and growth are checked periodically through field counts, fixed plots, photographs, and separate paper or spreadsheet records",Project-level survival and growth records may be incomplete or inconsistent across plots and monitoring dates,"Mortality hotspots, site or species mismatch, and maintenance needs may be detected late, weakening replanting priorities, accountability, and outcome reporting","Restoration managers, community partners, and communities benefiting from the restored ecosystem","A selected mangrove-restoration project currently uses periodic field monitoring, but survival and growth records may be incomplete or inconsistent across plots and dates, potentially delaying identification of mortality hotspots and weakening maintenance and replanting decisions.",DENR restoration-monitoring guidance + Southeast Asia systematic review + verified Iloilo restoration site,Some,Medium,Medium,High,Medium,"Requires formal site permission, an ecological validator, fixed and repeatable plots, safe field schedules, tide and weather controls, reliable ground truth, and a clear boundary between project monitoring and scientific habitat-condition measurement.",AI-assisted curation,—,Hold,"High ecological and management impact with an evaluable route against fixed-quadrat manual reference for completeness, counting error, time, survival estimates, and spatial consistency; partner authority and obtainable records are not yet confirmed.",Evidence: https://faspselib.denr.gov.ph/Materials/Detail/fec8cc55-253a-4788-b26b-3104b6be9a6d | https://www.bmb.gov.ph/the-katunggan-ecopark/ | https://doi.org/10.3389/fmars.2022.987737,2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,Medium,Investigate,Evidence: https://faspselib.denr.gov.ph/Materials/Detail/fec8cc55-253a-4788-b26b-3104b6be9a6d | https://www.bmb.gov.ph/the-katunggan-ecopark/ | https://doi.org/10.3389/fmars.2022.987737,
C18,D05,Disaster Risk Reduction and Preparedness,"Barangay residents, municipal or barangay DRRM personnel, and managers of evacuation, health, or other critical facilities",One hazard-prone municipality or barangay road network under defined flood or rain-induced-landslide scenarios,"Preparedness maps identify hazards and facilities, but the effect of individual road disruptions on access may be assessed manually or not quantified","The locality may lack a current, validated analysis of which road-segment disruptions most reduce barangay access to selected critical facilities","Alternate-route, evacuation, clearing, and preparedness priorities may overlook road segments whose disruption produces the greatest loss of access","Residents, local planners, responders, and critical-facility users","A selected hazard-prone locality may have hazard and facility maps but lack a validated analysis of which road-segment disruptions most reduce access to critical facilities, potentially weakening alternate-route, evacuation, and clearing priorities.",MGB geohazard data + DSWD local incident evidence + peer-reviewed flood-accessibility studies,Some,Medium,Medium,High,Medium,Limit the study to one hazard and facility set; use historical or simulated closures and safe non-emergency validation; verify road and facility data with DRR personnel; do not present the output as real-time warning or guaranteed safe routing.,AI-assisted curation,—,Hold,"High societal consequence and genuine GIS or network-analysis need with measurable access-loss, travel-time, coverage, and expert-ranking outcomes; local closure history and DRRMO validation are still required.","Evidence: https://experience.arcgis.com/experience/c48f83f81f1548bdb0a76c61638d52d6 | https://reliefweb.int/report/philippines/dswd-dromic-report-1-flashflood-and-landslide-incidents-leon-iloilo-04-december-2022-6pm | https://doi.org/10.1186/s12942-022-00315-2 | https://doi.org/10.1596/1813-9450-9262 | Related current Iloilo City magnitude evidence: 72 flood-risk barangays, 25 storm-surge-risk barangays, and more than 263,000 residents exposed; this strengthens significance but does not by itself validate the road-access gap. https://www.pna.gov.ph/articles/1254925 | https://www.panaynews.net/72-iloilo-city-barangays-tagged-high-risk-flood-threat-looms-over-263k-residents/",2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,Low,Investigate,"Evidence: https://experience.arcgis.com/experience/c48f83f81f1548bdb0a76c61638d52d6 | https://reliefweb.int/report/philippines/dswd-dromic-report-1-flashflood-and-landslide-incidents-leon-iloilo-04-december-2022-6pm | https://doi.org/10.1186/s12942-022-00315-2 | https://doi.org/10.1596/1813-9450-9262 | Related current Iloilo City magnitude evidence: 72 flood-risk barangays, 25 storm-surge-risk barangays, and more than 263,000 residents exposed; this strengthens significance but does not by itself validate the road-access gap. https://www.pna.gov.ph/articles/1254925 | https://www.panaynews.net/72-iloilo-city-barangays-tagged-high-risk-flood-threat-looms-over-263k-residents/",
C19,D09,Food Logistics and Supply-Chain Operations,"Mango growers, consolidators, traders, transporters, wholesalers, and postharvest extension personnel",One defined Iloilo-to-Manila mango supply-chain segment across actual commercial shipments,"Ripeness and quality are commonly judged through manual inspection, while handling and environmental conditions may not be linked to verified arrival quality across the shipment","The selected chain may lack a current, field-validated, low-cost method for predicting arrival quality and avoidable postharvest loss early enough to support handling decisions","Reduced marketable volume and income, inconsistent fruit quality, food waste, and decisions made only after deterioration becomes visible","Growers, traders, transporters, retailers, and consumers","Actors in a selected Iloilo mango supply-chain segment may lack a field-validated method that connects observable shipment conditions with independently measured arrival quality, limiting early and evidence-based handling decisions.",SEARCA/ADB value-chain evidence + peer-reviewed field-monitoring and quality-prediction studies,Some,Unknown,Medium,High,Medium,"The 33.89% route estimate requires a current local baseline; secure one chain partner, repeated real shipments, calibrated reference measurements, and seasonal coverage; avoid a generic ripeness classifier or dashboard.",AI-assisted curation,—,Hold,"High economic and food-loss significance with measurable prediction and process outcomes; originality and feasibility depend on current field data, partner access, and comparison against the present inspection process.",Evidence: https://www.searca.org/press/postharvest-losses-ph-onion-tomato-mango-value-chains-bared | https://doi.org/10.1109/ICACSIS56558.2022.9923476,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,Low,Investigate,Evidence: https://www.searca.org/press/postharvest-losses-ph-onion-tomato-mango-value-chains-bared | https://doi.org/10.1109/ICACSIS56558.2022.9923476,
C20,D03,Healthcare Service Delivery and Public Health Operations,"Eligible women, barangay health workers, midwives, nurses, screening providers, and local health-office planners","One authorized Iloilo RHU, city or municipal health office, or bounded cervical-cancer screening program","Screening, result notification, confirmatory assessment, referral, and care-linkage records may be split across paper lists, calls, and facilities; follow-up may be coordinated manually.","In a selected Iloilo cervical-cancer screening program, eligible women with an abnormal or action-requiring result may not consistently complete result notification, confirmatory assessment, referral, and indicated care; the location and magnitude of any pathway loss are not yet verified locally.","Unresolved pathway losses can delay clinical assessment and indicated care, reduce the benefit of early detection, and leave program managers unable to identify where continuity breaks down.","Eligible women, families, frontline health workers, and local health programs","A selected Iloilo cervical-cancer screening pathway may have unmeasured losses between screening, result communication, confirmatory assessment, referral, and indicated care, but local program records must first establish where and how often non-completion occurs.",Official Iloilo SUCCESS-FAP program + GLOBOCAN 2022 + Philippine screening evidence + digital-intervention reviews,Some,Unknown,Low,High,Medium,Do not infer local loss to follow-up from national burden or program existence; secure authorized aggregate pathway data and professional supervision; avoid AI diagnosis and a generic reminder or referral app already covered by existing studies; protect sensitive reproductive-health information.,AI-assisted curation,C21; C25 (related care-pathway follow-up and referral-coordination pattern),Hold,Very high and preventable burden with an active Northern Iloilo screening program and measurable pathway outcomes; remains Hold because public sources do not establish local screening-to-care dropout or a defensible gap beyond existing digital interventions.,"Corrected evidence: GLOBOCAN 2022 estimates 8,549 new cases and 4,380 deaths; cervical cancer ranked third by incidence among Philippine women, not second. Iloilo SUCCESS-FAP operated in Carles, Estancia, and Lemery. Local pathway non-completion is not yet verified. Evidence: https://gco.iarc.who.int/today/ | https://www.pna.gov.ph/articles/1242741 | https://www.pids.gov.ph/details/news/in-the-news/only-1-of-ph-women-screened-for-breast-cervical-cancer | https://iloilo.gov.ph/en/health-news/iloilos-success-fap-blueprint-cervical-cancer-prevention | https://doi.org/10.2196/23350 | https://doi.org/10.1371/journal.pone.0291931",2026-08-14,High,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,High,Investigate,"Corrected evidence: GLOBOCAN 2022 estimates 8,549 new cases and 4,380 deaths; cervical cancer ranked third by incidence among Philippine women, not second. Iloilo SUCCESS-FAP operated in Carles, Estancia, and Lemery. Local pathway non-completion is not yet verified. Evidence: https://gco.iarc.who.int/today/ | https://www.pna.gov.ph/articles/1242741 | https://www.pids.gov.ph/details/news/in-the-news/only-1-of-ph-women-screened-for-breast-cervical-cancer | https://iloilo.gov.ph/en/health-news/iloilos-success-fap-blueprint-cervical-cancer-prevention | https://doi.org/10.2196/23350 | https://doi.org/10.1371/journal.pone.0291931",
C21,D03,Healthcare Service Delivery and Public Health Operations,"Newborns and parents, newborn-hearing screening centers, nurses, audiologists, ENT specialists, hospitals, and program administrators",One authorized hospital or accredited newborn-hearing screening center and its referral-to-confirmatory-testing pathway,"After initial screening, rescreening, comprehensive audiologic evaluation, referral, and intervention may involve multiple visits and facilities; follow-up and outcome records may be incomplete or manually reconciled.","Newborns who do not pass initial hearing screening may be lost before rescreening, diagnostic confirmation, or intervention; Philippine single-center evidence exists, but the magnitude and causes in an Iloilo pathway are unverified.","Infants may be lost to follow-up, confirmatory assessment may be delayed, and program managers may lack complete information for continuity and quality improvement.","Infants, parents or caregivers, clinicians, screening centers, and program administrators","A selected newborn-hearing pathway may lose infants between initial screening, rescreening, comprehensive audiologic evaluation, referral, and intervention, but local records must first establish the affected stage, recurrence, and causes.",Philippine single-center pathway evaluation + existing HeLe eHealth referral model + framework review,Some,Unknown,Low,High,Medium,The 2019 evidence is from one UST Hospital cohort in Manila and is not nationally or locally representative; secure a birthing or audiology partner and de-identified records; protect child health data; do not duplicate HeLe's existing web referral and tracking model.,AI-assisted curation,C20; C25 (related care-pathway follow-up and referral-coordination pattern),Hold,"The care-pathway consequence and Philippine dropout evidence are strong, but the exact digital referral and tracking solution already exists in the HeLe model and no Iloilo-specific failure is verified; proceed only if a remaining barrier such as offline access, interoperability, sustainability, or intervention availability is demonstrated.","Verified evidence: in a 2019 UST Hospital cohort of 778 newborns, 81 (10.4%) did not pass initial screening, 11 also did not pass rescreening, none of those 11 completed comprehensive audiologic evaluation, and 67 total dropouts occurred. This is single-center Manila evidence. HeLe already implemented Philippine web-based referral and tracking. Evidence: https://pjohns.pso-hns.org/index.php/pjohns/article/view/2137/2177 | https://doi.org/10.47895/amp.v57i9.5332",2026-08-14,High,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,High,Investigate,"Verified evidence: in a 2019 UST Hospital cohort of 778 newborns, 81 (10.4%) did not pass initial screening, 11 also did not pass rescreening, none of those 11 completed comprehensive audiologic evaluation, and 67 total dropouts occurred. This is single-center Manila evidence. HeLe already implemented Philippine web-based referral and tracking. Evidence: https://pjohns.pso-hns.org/index.php/pjohns/article/view/2137/2177 | https://doi.org/10.47895/amp.v57i9.5332",
C22,D13,Community Safety and Emergency Response,"Road users, local traffic-management office, police, city or municipal engineering office, emergency responders, and local planners","One city or municipality with bounded road-crash records, traffic exposure data, and a defined intervention-planning process","Agencies may maintain separate or incomplete crash records, while conventional hotspot maps often rank locations using raw crash counts without exposure, data-quality, or intervention constraints","The locality may lack a reconciled, exposure-aware, and decision-oriented method for prioritizing road-safety interventions using available crash, road, and traffic information","High-risk locations or contributing conditions may be misranked, and limited engineering, enforcement, or education resources may be allocated without transparent evidence","Drivers, passengers, pedestrians, cyclists, responders, and local government","A selected locality may lack a validated method for reconciling available crash records and prioritizing road-safety interventions after accounting for traffic exposure, data quality, and local resource constraints.",Philippine Statistics Authority mortality data + Philippine crash-data quality research + local hotspot-analysis literature,Some,Unknown,Medium,High,Medium,Generic hotspot mapping is already saturated; obtain de-identified multi-source records and traffic exposure measures; address underreporting; avoid invasive driver surveillance; evaluate prioritization against expert or historical decisions.,AI-assisted curation,—,Hold,"Very high safety significance with measurable ranking, coverage, agreement, and decision-quality outcomes; defensibility depends on moving beyond raw-count hotspot maps and securing usable local records.",Evidence: https://psa.gov.ph/statistics/vital-statistics/node/1684076211 | https://doi.org/10.1136/injuryprev-2018-safety.485 | https://doi.org/10.18421/10.18421/SAR82-08,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,Low,Investigate,Evidence: https://psa.gov.ph/statistics/vital-statistics/node/1684076211 | https://doi.org/10.1136/injuryprev-2018-safety.485 | https://doi.org/10.18421/10.18421/SAR82-08,
C23,D07,Solid Waste Management Operations,"Barangay or cluster MRF operators, waste collectors, MENRO/ENRO staff, barangay officials, and waste generators",One selected barangay or cluster materials recovery facility with existing records and permission for a bounded physical-flow audit,"Received, sorted, recovered, residual, and transferred waste may be recorded in paper, spreadsheet, or separate logs; aggregate reports may not be routinely reconciled with independent physical measurements","At a selected MRF, recorded incoming, recovered, residual, and transferred waste may not reconcile with physical weights, leaving diversion rates and operational loss points unverifiable","Inaccurate diversion reporting, undetected contamination or leakage, weak allocation of collection and processing resources, and limited evidence for corrective action","MRF workers, waste generators, barangay or city environment offices, local government, and communities served","A selected materials recovery facility may lack a consistent, audit-ready method for reconciling waste-flow records with independent measurements, preventing reliable verification of diversion performance and identification of operational loss points.",Domain Explorer + official performance-audit evidence + academic saturation scan,Some,Medium,Medium,High,Medium,"Secure one MRF/MENRO partner; define a short audit period and limited waste categories; use calibrated reference measurements and safe handling/PPE; avoid a generic smart-bin or reporting-app concept; evaluate record accuracy and operational decisions, not only usability.",AI-assisted research curation,"C02 (distinct setting, evidence, and outcome)",Hold,"High public-service relevance and a measurable record-to-physical-flow gap; desk evidence supports the problem shape, but recurrence, usable baseline records, and a committed local partner must be confirmed before shortlisting.",Evidence: https://www.coa.gov.ph/reports/performance-audit-reports/2023-2/solid-waste-management-program/ | https://doi.org/10.1109/HNICEM60674.2023.10589249 | https://doi.org/10.5281/zenodo.17018819,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,Low,Investigate,Evidence: https://www.coa.gov.ph/reports/performance-audit-reports/2023-2/solid-waste-management-program/ | https://doi.org/10.1109/HNICEM60674.2023.10589249 | https://doi.org/10.5281/zenodo.17018819,
C24,D24,Digital Safety and Data Privacy Practices,"University students; official Philippine online-scam reporting agencies as contextual stakeholders; cybersecurity, privacy, or usable-security validators",Controlled university usable-security study using synthetic online-scam scenarios. Participants may inspect official public reporting guidance and channels but will not submit synthetic reports to live government systems.,"Users must determine the incident type, identify an appropriate official reporting pathway, interpret evidence requirements, and decide what sensitive information is necessary by consulting available official reporting guidance and channels.","University students may make incorrect, inefficient, or privacy-risky reporting decisions when scam incidents are partially ambiguous, several official reporting channels appear plausible, and available evidence contains sensitive information.","Incorrect or less appropriate pathway selection, longer navigation time, unnecessary navigation, incomplete evidence preparation, task non-completion, and unnecessary disclosure of sensitive information may occur.","University students or other online-scam reporters, and official agencies responsible for receiving and processing reports","University students navigating official Philippine online-scam reporting pathways may have difficulty identifying an appropriate reporting channel efficiently and safely when incidents are ambiguous, multiple official channels appear plausible, and available evidence contains sensitive information. The extent and recurrence of this difficulty have not yet been established locally.",Domain Explorer + official complaint/reporting sources + academic underreporting/usability evidence + DSR usable-security framing,Some,High,High,High,High,"Official reporting jurisdictions may overlap, making ground-truth routing difficult to define; official guidance may change; synthetic scenarios may not fully represent real victim conditions; repeated scenarios may create learning effects. Use only synthetic evidence and never submit fabricated reports.",AI-assisted research curation,"C11 — related digital-safety/reporting research, but C24 evaluates external official scam-reporting pathways rather than institutional phishing reporting.",Hold,Strong usable-security/HCI research direction with measurable behavioral outcomes and a feasible controlled evaluation path. Keep on Hold until local task-performance difficulty is demonstrated and acceptable reporting pathways can be authoritatively defined.,Evidence: https://www.pna.gov.ph/articles/1243101 | https://www.pna.gov.ph/articles/1228318 | https://www.doj.gov.ph/reporting_cybercrime.html | https://doi.org/10.1109/ICCCF.2016.7740424 | https://doi.org/10.1109/ECRIME47957.2019.9037577 | https://doi.org/10.54501/jots.v2i4.204 | Problem-bank note: local task-performance evidence is still required before shortlisting.,2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Likely,Likely,Medium,Investigate,Evidence: https://www.pna.gov.ph/articles/1243101 | https://www.pna.gov.ph/articles/1228318 | https://www.doj.gov.ph/reporting_cybercrime.html | https://doi.org/10.1109/ICCCF.2016.7740424 | https://doi.org/10.1109/ECRIME47957.2019.9037577 | https://doi.org/10.54501/jots.v2i4.204 | Problem-bank note: local task-performance evidence is still required before shortlisting.,
C25,D03,Healthcare Service Delivery and Public Health Operations,"Pregnant women, midwives, RHU and birthing-facility staff, receiving-hospital personnel, MHO or PHO coordinators, and maternal-health professionals",One selected local maternal referral network linking an RHU or birthing facility with a receiving hospital,"Maternal referrals may use paper or differently formatted records, phone calls, or informal coordination; acknowledgement, receiving-facility feedback, and final referral outcome may not be consistently documented.","Referral records may be incomplete or inconsistent and may lack closed-loop acknowledgement and outcome feedback, limiting receiving-facility preparation and making referral completion difficult to verify.","Missing or delayed information may require repeated clarification, weaken transfer preparation and continuity of care, and prevent reliable monitoring of unresolved referrals.","Pregnant women and newborns, referring and receiving health workers, facilities, and local health managers","In a selected maternal referral network, records sent by RHUs or birthing facilities to receiving hospitals may be incomplete, inconsistently formatted, or lack acknowledgement and outcome feedback, limiting receiving-facility preparation and making referral completion difficult to verify.",Domain Explorer + Philippine maternal-referral evidence + framework review,Some,Unknown,Low,High,Medium,"Requires an authorized MHO, RHU, birthing-facility, or hospital partner; use de-identified records or controlled simulation; require maternal-health professional supervision and ethics or privacy approval; do not automate clinical risk diagnosis or triage.",AI-assisted research curation,C20; C21 (related closed-loop referral and follow-up pattern),Hold,"Philippine studies document referral coordination and information-quality problems with measurable process outcomes, but the same bottleneck, data access, and partner support must be confirmed in one Iloilo network before shortlisting.","Evidence: an Albay study identified coordination, data-management, and referral-protocol barriers (peer reviewed): https://doi.org/10.47895/AMP.V54I5.664 | A Cagayan de Oro preprint reviewed 3,330 referral forms, sampled 384, found 126 (31.8%) used the standard form, and none met all 14 completeness criteria: https://www.medrxiv.org/content/10.1101/2022.03.31.22273250v1.full-text",2026-08-14,High,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,High,Investigate,"Evidence: an Albay study identified coordination, data-management, and referral-protocol barriers (peer reviewed): https://doi.org/10.47895/AMP.V54I5.664 | A Cagayan de Oro preprint reviewed 3,330 referral forms, sampled 384, found 126 (31.8%) used the standard form, and none met all 14 completeness criteria: https://www.medrxiv.org/content/10.1101/2022.03.31.22273250v1.full-text",
C26,D03,Healthcare Service Delivery and Public Health Operations,"People who may benefit from HIV testing or prevention services, young people, authorized HIV-clinic personnel, public-health staff, and community-service organizations","One authorized Iloilo HIV clinic, treatment hub, or bounded provincial testing-and-linkage pathway","Iloilo operates several HIV clinics and free-testing sites, but provincial reporting identifies low testing and diagnosis coverage, limited treatment and viral-suppression coverage, poor health-seeking behavior, and minimal testing uptake among young people.","People who may benefit from HIV services may delay or avoid testing, while some diagnosed clients may not complete linkage to treatment and continuing care; the exact stage-specific causes within a selected clinic remain unverified.","Delayed diagnosis or incomplete linkage can reduce timely access to prevention and treatment services and weaken progress toward provincial testing, treatment, and viral-suppression targets.","People seeking confidential HIV services, their support networks, authorized providers, and the provincial health system","Within a selected authorized Iloilo HIV-service pathway, low testing uptake or incomplete linkage between diagnosis, treatment, and continuing care may limit timely access to confidential services, but the local workflow causes must be established without exposing or stigmatizing individuals.",D03 Health Landscape + official Iloilo Provincial Local AIDS Council evidence,Yes,Unknown,Low,High,Low,"Exceptionally sensitive and stigmatized context; proceed only through an authorized clinic or public-health partner; use de-identified aggregate data; do not create public risk scores, collect unnecessary identity or behavior data, or expose clinic attendance.",AI-assisted research curation,C20; C21; C25 (related care-pathway completion pattern; distinct population and ethics),Hold,"The local magnitude and service pathway are publicly documented, giving this direction strong impact potential; it remains Hold because stakeholder authorization, ethical access, and a precise clinic-level failure point are not confirmed.","Official Iloilo evidence reported 1,988 diagnosed among an estimated 4,800 PLHIV as of June 2025 (41%); 1,583 of those diagnosed were treated (80%), and 1,065 of those treated had suppressed viral load (67%). The same source identified low youth testing uptake. Evidence: https://www.iloilo.gov.ph/en/health-news/get-tested-now-iloilo-aids-council-toughens-preventive-control-measures-vs-hiv",2026-08-14,High,Discovery,Unknown,Not established,Not yet checked,Reachable,Unconfirmed,High,Investigate,"Official Iloilo evidence reported 1,988 diagnosed among an estimated 4,800 PLHIV as of June 2025 (41%); 1,583 of those diagnosed were treated (80%), and 1,065 of those treated had suppressed viral load (67%). The same source identified low youth testing uptake. Evidence: https://www.iloilo.gov.ph/en/health-news/get-tested-now-iloilo-aids-council-toughens-preventive-control-measures-vs-hiv",
C27,D03,Healthcare Service Delivery and Public Health Operations,"Adults enrolled in or reached by community chronic-disease services, barangay health workers, nurses, physicians, primary-care facilities, medicine providers, and local program managers",One selected Iloilo Healthy Hearts or primary-care site and one bounded hypertension care pathway,"Iloilo's Healthy Hearts Program has expanded across the province and tracks enrollment and blood-pressure control, but public reporting does not show whether patients consistently complete confirmation, enrollment, follow-up visits, medicine continuity, and repeated control monitoring at each site.","At a selected site, adults identified with elevated blood pressure may experience an unmeasured breakdown between repeat measurement, clinical confirmation, program enrollment, medicine access, follow-up, and continuing control monitoring.","Unrecognized pathway losses may contribute to persistent uncontrolled blood pressure, delayed care, preventable complications, and incomplete evidence for local program improvement.","Adults with elevated blood pressure, families, barangay health workers, primary-care teams, and program managers","A selected Iloilo hypertension-care pathway may have unmeasured losses between community identification, confirmation, enrollment, medicine continuity, follow-up, and control monitoring, but the exact failure point and recurrence must be established from site records.",D03 Health Landscape + official Iloilo Healthy Hearts implementation and outcome reports,Some,Unknown,Low,High,Medium,"Limit the study to one condition, site, and pathway stage; require an authorized primary-care partner and de-identified records; do not automate diagnosis or treatment; clarify the arithmetic inconsistency in the public outcome report before using its percentage as a baseline.",AI-assisted research curation,C20; C25; C26; C29 (related screening or outreach-to-care continuity pattern),Hold,"The program has substantial local reach, a defined care cascade, and measurable continuity outcomes; it remains Hold because public sources mainly report program success and do not establish a recurring site-level continuity failure.","Official sources document province-wide expansion and report 22,395 enrolled patients. The outcome page states that 86.6% (17,182 patients) had controlled blood pressure, but 17,182 divided by 22,395 is about 76.7%, so the reported percentage and count require clarification. Evidence: https://www.iloilo.gov.ph/en/health-news/healthy-hearts-program-expands-16-sites-iloilo-province | https://www.iloilo.gov.ph/index.php/en/health-news/resolve-save-lives-lauds-iloilos-healthy-hearts-program-outcome",2026-08-14,High,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,High,Investigate,"Official sources document province-wide expansion and report 22,395 enrolled patients. The outcome page states that 86.6% (17,182 patients) had controlled blood pressure, but 17,182 divided by 22,395 is about 76.7%, so the reported percentage and count require clarification. Evidence: https://www.iloilo.gov.ph/en/health-news/healthy-hearts-program-expands-16-sites-iloilo-province | https://www.iloilo.gov.ph/index.php/en/health-news/resolve-save-lives-lauds-iloilos-healthy-hearts-program-outcome",
C28,D03,Healthcare Service Delivery and Public Health Operations,"Residents, barangay health workers, municipal or city health offices, the Provincial Epidemiology and Surveillance Unit, dengue-response teams, hospitals, and local officials",One selected Iloilo municipality or barangay cluster and its surveillance-to-local-action workflow,"Provincial surveillance data inform task-force, municipal, and barangay prevention activities, including localized vector-control and education measures; public reports document case burden and response outcomes but not the timeliness or verification of each local action.","In a selected locality, dengue surveillance information may not always be converted into timely, documented, and verifiable barangay-level prevention or response actions; whether this operational delay occurs remains unverified.","Delayed or poorly documented action may prolong preventable exposure, make resource prioritization less transparent, and limit evaluation of which local interventions were completed and effective.","Residents, barangay and municipal health personnel, hospitals, response teams, and local government","A selected Iloilo locality may have an unmeasured delay or documentation gap between dengue surveillance signals and completed barangay-level prevention actions, but the existence, frequency, and consequence of that operational gap must first be verified.",D03 Health Landscape + official Iloilo dengue surveillance and response reports,Some,Unknown,Medium,High,Medium,Do not create another generic case dashboard or hotspot map; identify one operational decision and response stage; distinguish reporting delay from action delay; use aggregate geographic data and avoid exposing households or individuals.,AI-assisted research curation,C22 (related prioritization pattern in a different domain; avoid generic hotspot mapping),Hold,Dengue has high local consequence and a defined surveillance-to-action pathway with measurable timing and completion outcomes; it remains Hold because available evidence documents burden and a successful coordinated response rather than a specific operational failure.,"Official retrospective reporting states that early 2025 projections reached 21,000 cases, while coordinated provincial and local action limited the reported total to about 5,700 and identified 483 dengue-free barangays. This establishes relevance, not a failure. Evidence: https://iloilo.gov.ph/en/health-news/iloilo-provincial-government-grants-5000-incentives-2025-dengue-free-barangays | https://www.pna.gov.ph/articles/1245627",2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,Medium,Investigate,"Official retrospective reporting states that early 2025 projections reached 21,000 cases, while coordinated provincial and local action limited the reported total to about 5,700 and identified 483 dengue-free barangays. This establishes relevance, not a failure. Evidence: https://iloilo.gov.ph/en/health-news/iloilo-provincial-government-grants-5000-incentives-2025-dengue-free-barangays | https://www.pna.gov.ph/articles/1245627",
